Postnumber, Diseaseid, DiseaseName3, 'C0032064', 'Plague');
8, 'C0036916', 'Sexually Transmitted Diseases');
9, 'C0036916', 'Sexually Transmitted Diseases');
10, 'C1333810', 'Genital Human Papillomavirus Infection');
11, 'C0730321', 'Punctate inner choroidopathy');
12, 'C0036916', 'Sexually Transmitted Diseases');
13, 'C0036916', 'Sexually Transmitted Diseases');
14, 'C0036916', 'Sexually Transmitted Diseases');
15, 'C0269017', 'Pearly penile papules');
16, 'C0036916', 'Sexually Transmitted Diseases');
17, 'C0022104', 'Irritable Bowel Syndrome');
19, 'C0036916', 'Sexually Transmitted Diseases');
24, 'C0020538', 'Hypertensive disease');
31, 'C0004135', 'Ataxia Telangiectasia');
32, 'C0242354', 'Congenital Disorders');
34, 'C0036916', 'Sexually Transmitted Diseases');
35, 'C0036916', 'Sexually Transmitted Diseases');
36, 'C0036916', 'Sexually Transmitted Diseases');
37, 'C0036916', 'Sexually Transmitted Diseases');
38, 'C0036916', 'Sexually Transmitted Diseases');
39, 'C0036916', 'Sexually Transmitted Diseases');
40, 'C0036916', 'Sexually Transmitted Diseases');
41, 'C0036916', 'Sexually Transmitted Diseases');
42, 'C0272285', 'Heparin-induced thrombocytopenia');
51, 'C0019340', 'herpes');
52, 'C0036916', 'Sexually Transmitted Diseases');
53, 'C0036916', 'Sexually Transmitted Diseases');
54, 'C0036916', 'Sexually Transmitted Diseases');
55, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME');
56, 'C0036916', 'Sexually Transmitted Diseases');
57, 'C0036916', 'Sexually Transmitted Diseases');
58, 'C0019112', 'Hemorrhoids');
69, 'C0023890', 'Liver Cirrhosis');
70, 'C0009443', 'Common Cold');
72, 'C0022104', 'Irritable Bowel Syndrome');
73, 'C0036916', 'Sexually Transmitted Diseases');
74, 'C0036916', 'Sexually Transmitted Diseases');
75, 'C0036916', 'Sexually Transmitted Diseases');
76, 'C0036916', 'Sexually Transmitted Diseases');
77, 'C0036916', 'Sexually Transmitted Diseases');
80, 'C0730321', 'Punctate inner choroidopathy');
81, 'C0019340', 'herpes');
83, 'C0004238', 'Atrial Fibrillation');
84, 'C1395831', 'pressure area');
86, 'C0004135', 'Ataxia Telangiectasia');
89, 'C0036916', 'Sexually Transmitted Diseases');
90, 'C0036916', 'Sexually Transmitted Diseases');
91, 'C0036916', 'Sexually Transmitted Diseases');
92, 'C0036916', 'Sexually Transmitted Diseases');
93, 'C0036916', 'Sexually Transmitted Diseases');
94, 'C0036916', 'Sexually Transmitted Diseases');
95, 'C0036916', 'Sexually Transmitted Diseases');
