,Source,Destination,Weight
0, IllnessC0221512, Diarrhea,38.0
1, IllnessC0221512, Constipation,18.0
2, IllnessC0221512, Weakness,73.0
3, IllnessC0221512, Headache,94.0
4, IllnessC0221512, Chronic constipation,2.0
5, IllnessC0221512, Exanthema,41.0
6, IllnessC0221512, Pain,232.0
7, IllnessC0221512, Pruritus,39.0
8, IllnessC0221512, Catch - Finding of sensory dimension of pain,31.0
9, IllnessC0221512, Sore skin,5.0
10, IllnessC0221512, Burning sensation,33.0
11, IllnessC0221512, Stinging Sensation,7.0
12, IllnessC0221512, Abdominal Pain,12.0
13, IllnessC0221512, Nausea,107.0
14, IllnessC0221512, Cramping sensation quality,6.0
15, IllnessC0221512, headache severe,9.0
16, IllnessC0221512, Overweight,14.0
17, IllnessC0221512, gastrointestinal gas,7.0
18, IllnessC0221512, Sore Throat,23.0
19, IllnessC0221512, Low Back Pain,6.0
20, IllnessC0221512, Sore to touch,35.0
21, IllnessC0221512, Clouded consciousness,31.0
22, IllnessC0221512, Dizziness,74.0
23, IllnessC0221512, Muscle Cramp,15.0
24, IllnessC0221512, Painful scar,1.0
25, IllnessC0221512, Sharp pain,12.0
26, IllnessC0221512, physical symptom,4.0
27, IllnessC0221512, Tired,94.0
28, IllnessC0221512, Fatigue,86.0
29, IllnessC0221512, Abdominal bloating,17.0
30, IllnessC0221512, Myalgia,17.0
31, IllnessC0221512, Coughing,46.0
32, IllnessC0221512, blotch,2.0
33, IllnessC0221512, Severe diarrhea,2.0
34, IllnessC0221512, Upset stomach,21.0
35, IllnessC0221512, Stomach cramps,4.0
36, IllnessC0221512, Influenza-like symptoms,10.0
37, IllnessC0221512, Rhinorrhea,12.0
38, IllnessC0221512, Malaise,76.0
39, IllnessC0221512, Blood in stool,2.0
40, IllnessC0221512, Heartburn,11.0
41, IllnessC0221512, Breathing abnormally deep,6.0
42, IllnessC0221512, Mastodynia,2.0
43, IllnessC0221512, Chest pressure,3.0
44, IllnessC0221512, Chest Pain,9.0
45, IllnessC0221512, Hot flushes,5.0
46, IllnessC0221512, Spasm,11.0
47, IllnessC0221512, HEART PROBLEM,4.0
48, IllnessC0221512, Shoulder Pain,4.0
49, IllnessC0221512, Dyspnea,20.0
50, IllnessC0221512, Ache,26.0
51, IllnessC0221512, Lower abdominal pain,1.0
52, IllnessC0221512, Nervousness,18.0
53, IllnessC0221512, Vomiting,53.0
54, IllnessC0221512, back symptoms,1.0
55, IllnessC0221512, Sore mouth,1.0
56, IllnessC0221512, Exhaustion,30.0
57, IllnessC0221512, Hunger,16.0
58, IllnessC0221512, Depressed - symptom,13.0
59, IllnessC0221512, Sleeplessness,17.0
60, IllnessC0221512, Feeling tense,3.0
61, IllnessC0221512, Syncope,19.0
62, IllnessC0221512, spells,8.0
63, IllnessC0221512, Flatulence,5.0
64, IllnessC0221512, Flushing,8.0
65, IllnessC0221512, side pain,4.0
66, IllnessC0221512, Dry skin,6.0
67, IllnessC0221512, Has tingling sensation,21.0
68, IllnessC0221512, Mass of body region,6.0
69, IllnessC0221512, Lethargy,14.0
70, IllnessC0221512, Menstrual spotting,4.0
71, IllnessC0221512, Dyspepsia,1.0
72, IllnessC0221512, Normal bowel habits,1.0
73, IllnessC0221512, Stabbing pain,3.0
74, IllnessC0221512, Loose stool,8.0
75, IllnessC0221512, Tremor,41.0
76, IllnessC0221512, Nerve Pain,6.0
77, IllnessC0221512, Perceived quality of life,5.0
78, IllnessC0221512, Neck stiffness,7.0
79, IllnessC0221512, Chest tightness,3.0
80, IllnessC0221512, Chills,23.0
81, IllnessC0221512, Signs and Symptoms,14.0
82, IllnessC0221512, Eructation,8.0
83, IllnessC0221512, Arthralgia,30.0
84, IllnessC0221512, nausea chronic,1.0
85, IllnessC0221512, BODY ACHE,25.0
86, IllnessC0221512, Seizures,27.0
87, IllnessC0221512, Throat irritation,1.0
88, IllnessC0221512, Upper back pain,4.0
89, IllnessC0221512, Pelvic Pain,5.0
90, IllnessC0221512, Nasal congestion,3.0
91, IllnessC0221512, blotchy,2.0
92, IllnessC0221512, Back Pain,25.0
93, IllnessC0221512, Vertigo,18.0
94, IllnessC0221512, uti symptoms,2.0
95, IllnessC0221512, Generalized aches and pains,4.0
96, IllnessC0221512, Feeling Sick,16.0
97, IllnessC0221512, lump in throat,2.0
98, IllnessC0221512, Dull pain,2.0
99, IllnessC0221512, Rectal pain,1.0
100, IllnessC0221512, Feeling strange,3.0
101, IllnessC0221512, Kidney problem,3.0
102, IllnessC0221512, digestive problem,3.0
103, IllnessC0221512, Muscular stiffness,8.0
104, IllnessC0221512, Renal pain,3.0
105, IllnessC0221512, light bleeding between periods,2.0
106, IllnessC0221512, Palpitations - fluttering,3.0
107, IllnessC0221512, Lightheadedness,12.0
108, IllnessC0221512, Excruciating pain,5.0
109, IllnessC0221512, gas in stomach,1.0
110, IllnessC0221512, Neck Pain,10.0
111, IllnessC0221512, Cold sweat,4.0
112, IllnessC0221512, Throbbing pain,2.0
113, IllnessC0221512, Pain| Burning,5.0
114, IllnessC0221512, rundown,4.0
115, IllnessC0221512, Acute onset pain,1.0
116, IllnessC0221512, Arm Pain,2.0
117, IllnessC0221512, Numbness,16.0
118, IllnessC0221512, Flare,9.0
119, IllnessC0221512, sick to stomach,13.0
120, IllnessC0221512, Frequent headache,1.0
121, IllnessC0221512, Inguinal pain,1.0
122, IllnessC0221512, Cardiovascular symptoms,1.0
123, IllnessC0221512, Abdominal discomfort,1.0
124, IllnessC0221512, Night sweats,11.0
125, IllnessC0221512, genital burning,1.0
126, IllnessC0221512, burning anal,1.0
127, IllnessC0221512, Feeling tired,4.0
128, IllnessC0221512, Hangover from any Alcohol or Other Drugs substance,3.0
129, IllnessC0221512, Knee pain,2.0
130, IllnessC0221512, Stiffness,5.0
131, IllnessC0221512, Chapping of lips,1.0
132, IllnessC0221512, feeling dizzy,4.0
133, IllnessC0221512, Burning sensation of skin,1.0
134, IllnessC0221512, Chronic pain,13.0
135, IllnessC0221512, out,1.0
136, IllnessC0221512, Gasping for breath,2.0
137, IllnessC0221512, Nightmares,15.0
138, IllnessC0221512, Imbalance,1.0
139, IllnessC0221512, Sore lip,1.0
140, IllnessC0221512, Dryness of eye,8.0
141, IllnessC0221512, Pounding heart,1.0
142, IllnessC0221512, tingling in fingers,1.0
143, IllnessC0221512, Pain in left arm,1.0
144, IllnessC0221512, Deep pain,1.0
145, IllnessC0221512, Burning lips,1.0
146, IllnessC0221512, Night pain,2.0
147, IllnessC0221512, Nausea and vomiting,3.0
148, IllnessC0221512, Retching,3.0
149, IllnessC0221512, Trembling,2.0
150, IllnessC0221512, Shaking of hands,2.0
151, IllnessC0221512, Blurred vision,6.0
152, IllnessC0221512, Intermittent pain,1.0
153, IllnessC0221512, Eye swelling,3.0
154, IllnessC0221512, Fatigue - symptom,1.0
155, IllnessC0221512, Hip pain,3.0
156, IllnessC0221512, Eye pain,1.0
157, IllnessC0221512, Pain in elbow,2.0
158, IllnessC0221512, Pruritus Ani,1.0
159, IllnessC0221512, Feeling nervous,1.0
160, IllnessC0221512, Growing pains,2.0
161, IllnessC0221512, Bone pain,2.0
162, IllnessC0221512, back pain mid back,1.0
163, IllnessC0221512, Agitation,7.0
164, IllnessC0221512, bad dreams,1.0
165, IllnessC0221512, Shooting pain,3.0
166, IllnessC0221512, Edema of foot,2.0
167, IllnessC0221512, Buzzing in ear,1.0
168, IllnessC0221512, head pressure,6.0
169, IllnessC0221512, Rales,2.0
170, IllnessC0221512, leg numbness,2.0
171, IllnessC0221512, Welts,1.0
172, IllnessC0221512, Lump on thigh,1.0
173, IllnessC0221512, Feeling feverish,1.0
174, IllnessC0221512, Toothache,2.0
175, IllnessC0221512, pricking of skin,1.0
176, IllnessC0221512, Cachexia,2.0
177, IllnessC0221512, severe back pain,4.0
178, IllnessC0221512, Shallow breathing,1.0
179, IllnessC0221512, Hand pain,1.0
180, IllnessC0221512, Actual Discomfort,2.0
181, IllnessC0221512, Increased sweating,1.0
182, IllnessC0221512, Muscle Weakness,4.0
183, IllnessC0221512, Pain in lower limb,6.0
184, IllnessC0221512, Withdrawal Symptoms,5.0
185, IllnessC0221512, Sleep disturbances,4.0
186, IllnessC0221512, Photophobia,3.0
187, IllnessC0221512, Sciatica,6.0
188, IllnessC0221512, Foot pain,1.0
